Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Accessory size (product.metafields.shopify.accessory-size),Activewear clothing features (product.metafields.shopify.activewear-clothing-features),Activity (product.metafields.shopify.activity),Adhesive type (product.metafields.shopify.adhesive-type),Age group (product.metafields.shopify.age-group),Clothing features (product.metafields.shopify.clothing-features),Color (product.metafields.shopify.color-pattern),Drinkware material (product.metafields.shopify.drinkware-material),Embellishment/Trim material (product.metafields.shopify.embellishment-trim-material),Fabric (product.metafields.shopify.fabric),Headwear features (product.metafields.shopify.headwear-features),Neckline (product.metafields.shopify.neckline),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Theme (product.metafields.shopify.theme),Top length type (product.metafields.shopify.top-length-type),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
blubullfly-kids-cotton-performance-t-shirt,,,,,,,,,6X,,,,,,,,6409282_33954,84.19808368125,shopify,deny,manual,38.94,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0802/3071/1551/files/all-over-print-kids-cotton-crew-neck-t-shirt-white-front-6994bb7b1d07e.jpg?v=1771355012,6,Product mockup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0802/3071/1551/files/all-over-print-kids-cotton-crew-neck-t-shirt-white-front-6994bb7b1d2f3.jpg?v=1771355013,oz,,29.38,
blubullfly-kids-cotton-performance-t-shirt,,,,,,,,,7,,,,,,,,6409282_33955,87.316531225,shopify,deny,manual,38.94,,true,true,,,,,785034393129,https://cdn.shopify.com/s/files/1/0802/3071/1551/files/all-over-print-kids-cotton-crew-neck-t-shirt-white-front-6994bb7b1d119.jpg?v=1771355013,7,Product mockup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0802/3071/1551/files/all-over-print-kids-cotton-crew-neck-t-shirt-white-front-6994bb7b1d2f3.jpg?v=1771355013,oz,,29.38,
blubullfly-kids-cotton-performance-t-shirt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0802/3071/1551/files/all-over-print-kids-cotton-crew-neck-t-shirt-white-back-6994bb7b1d1b9.jpg?v=1771355012,8,Product mockup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blubullfly-kids-cotton-performance-t-shirt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0802/3071/1551/files/all-over-print-kids-cotton-crew-neck-t-shirt-white-back-6994bb7b1d257.jpg?v=1771355012,9,Product mockup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blubullfly-unisex-dryblend-cotton-moisture-wicking-t-shirt-back-print,Blubullfly Unisex DryBlend Cotton Moisture-Wicking T-Shirt - Back Print,"Whether you’re looking for a workout or capsule t-shirt—here’s your new fave. The modern classic fit combined with moisture-management fabric will make sure you look your best during any activity. No sweat stains or ill-fitting fabric! Meet the shirt:<br>
<br>
• 50% cotton, 50% polyester<br>
• Fabric weight: 5.5 oz./yd.² (186 g/m²)<br>
• DryBlend® moisture-management fabric<br>
• Modern classic fit<br>
• Rib collar in classic width<br>
• Taped neck and shoulders for comfort and durability<br>
• Tear-away label for 0 chafing<br>
• Blank product sourced from Honduras<br>
<br>
Disclaimer: Due to the fabric properties, the White color variant may appear off-white rather than bright white.<br>
<br>
This product is made especially for you as soon as you place an order, which is why it takes us a bit longer to deliver it to you. Making products on demand instead of in bulk helps reduce overproduction, so thank you for making thoughtful purchasing decisions!",Bluebullfly,Apparel & Accessories > Clothing > Clothing Tops > T-Shirts,T-Shirts,"",true,Color,navy-1,product.metafields.shopify.color-pattern,Size,S,,Age group,adults,product.metafields.shopify.age-group,5161471_19909,153.087424875,shopify,deny,manual,20.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0802/3071/1551/files/unisex-sports-tee-ash-back-699a2304715a0.jpg?v=1771709207,1,Product mockup,false,,,212,,,,,,,,,,,,,,,,adults; kids-1; teens,moisture-wicking,navy-1; purple; maroon; forest-green; royal; orange; gold; carolina-blue; light-pink; lime; ash; white-2,,,cotton; polyester,,round,l,short,unisex,,medium,https://cdn.shopify.com/s/files/1/0802/3071/1551/files/unisex-sports-tee-navy-back-699a23046645e.jpg?v=1771709208,oz,PC040100,12.95,active
blubullfly-unisex-dryblend-cotton-moisture-wicking-t-shirt-back-print,,,,,,,,,navy-1,,,M,,,adults,,5161471_19926,167.2621864375,shopify,deny,manual,20.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0802/3071/1551/files/unisex-sports-tee-carolina-blue-back-699a23046dd57.jpg?v=1771709208,2,Product mockup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0802/3071/1551/files/unisex-sports-tee-navy-back-699a23046645e.jpg?v=1771709208,oz,PC040100,12.95,
blubullfly-unisex-dryblend-cotton-moisture-wicking-t-shirt-back-print,,,,,,,,,navy-1,,,L,,,adults,,5161471_19943,206.9515188125,shopify,deny,manual,20.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0802/3071/1551/files/unisex-sports-tee-forest-green-back-699a230468643.jpg?v=1771709208,3,Product mockup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0802/3071/1551/files/unisex-sports-tee-navy-back-699a23046645e.jpg?v=1771709208,oz,PC040100,12.95,
blubullfly-unisex-dryblend-cotton-moisture-wicking-t-shirt-back-print,,,,,,,,,navy-1,,,XL,,,adults,,5161471_19960,221.126280375,shopify,deny,manual,20.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0802/3071/1551/files/unisex-sports-tee-gold-back-699a23046c51d.jpg?v=1771709208,4,Product mockup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0802/3071/1551/files/unisex-sports-tee-navy-back-699a23046645e.jpg?v=1771709208,oz,PC040100,12.95,
blubullfly-unisex-dryblend-cotton-moisture-wicking-t-shirt-back-print,,,,,,,,,navy-1,,,2XL,,,adults,,5161471_19977,266.485517375,shopify,deny,manual,21.50,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0802/3071/1551/files/unisex-sports-tee-navy-back-699a23046645e.jpg?v=1771709208,5,Product mockup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0802/3071/1551/files/unisex-sports-tee-navy-back-699a23046645e.jpg?v=1771709208,oz,PC040100,15.75,
blubullfly-unisex-dryblend-cotton-moisture-wicking-t-shirt-back-print,,,,,,,,,navy-1,,,3XL,,,adults,,5161471_19994,269.3204696875,shopify,deny,manual,25.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0802/3071/1551/files/unisex-sports-tee-lime-back-699a23046f822.jpg?v=1771709208,6,Product mockup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0802/3071/1551/files/unisex-sports-tee-navy-back-699a23046645e.jpg?v=1771709208,oz,PC040100,18.75,
